session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s001,14280,phase,1,22.960,0.466,-0.012,-0.081,2.000,,0
radar_s001,14352,0x0a38,1,22.960,0.466,-0.012,-0.081,2.000,,0
radar_s001,14417,0x0a38,1,22.960,0.466,-0.012,-0.081,2.000,,0
radar_s001,14482,phase,1,22.960,-0.059,-0.021,0.148,2.000,,0
radar_s001,14554,0x0a38,1,22.960,-0.059,-0.021,0.148,2.000,,0
radar_s001,14619,0x0a38,1,22.960,-0.059,-0.021,0.148,2.000,,0
radar_s001,14685,phase,1,22.960,-0.403,-0.023,-0.046,2.000,,0
radar_s001,14757,0x0a38,1,22.960,-0.403,-0.023,-0.046,2.000,,0
radar_s001,14822,0x0a38,1,22.960,-0.403,-0.023,-0.046,2.000,,0
radar_s001,14887,0x0a38,1,22.960,-0.403,-0.023,-0.046,2.000,,0
radar_s001,14952,human_status,1,22.960,-0.403,-0.023,-0.046,2.000,,0
radar_s001,15019,0x0a38,1,22.960,-0.403,-0.023,-0.046,2.000,,0
radar_s001,15084,0x0a38,1,22.960,-0.403,-0.023,-0.046,2.000,,0
radar_s001,15149,0x0a38,1,22.960,-0.403,-0.023,-0.046,2.000,,0
radar_s001,15214,phase,1,22.960,1.507,0.047,-0.059,2.000,,0
radar_s001,15286,0x0a38,1,22.960,1.507,0.047,-0.059,2.000,,0
radar_s001,15351,0x0a38,1,22.960,1.507,0.047,-0.059,2.000,,0
radar_s001,15417,phase,1,22.960,0.346,0.068,0.084,2.000,,0
radar_s001,15488,0x0a38,1,22.960,0.346,0.068,0.084,2.000,,0
radar_s001,15554,0x0a38,1,22.960,0.346,0.068,0.084,2.000,,0
radar_s001,15619,phase,1,22.960,2.594,0.079,-0.031,2.000,,0
radar_s001,15691,0x0a38,1,22.960,2.594,0.079,-0.031,2.000,,0
radar_s001,15756,0x0a38,1,22.960,2.594,0.079,-0.031,2.000,,0
radar_s001,15821,phase,1,22.960,2.281,0.103,-0.298,2.000,,0
radar_s001,15893,0x0a38,1,22.960,2.281,0.103,-0.298,2.000,,0
radar_s001,15958,0x0a38,1,22.960,2.281,0.103,-0.298,2.000,,0
radar_s001,16023,phase,1,22.960,1.451,0.159,0.777,2.000,,0
radar_s001,16095,heart_rate,1,22.960,1.451,0.159,0.777,2.000,109.000,0
radar_s001,16163,0x0a38,1,22.960,1.451,0.159,0.777,2.000,109.000,0
radar_s001,16228,0x0a38,1,22.960,1.451,0.159,0.777,2.000,109.000,0
radar_s001,16293,0x0a38,1,22.960,1.451,0.159,0.777,2.000,109.000,0
radar_s001,16358,phase,1,22.960,-1.798,0.257,-0.755,2.000,109.000,0
radar_s001,16430,0x0a38,1,22.960,-1.798,0.257,-0.755,2.000,109.000,0
radar_s001,16495,0x0a38,1,22.960,-1.798,0.257,-0.755,2.000,109.000,0
radar_s001,16561,phase,1,22.960,1.235,0.263,0.507,2.000,109.000,0
radar_s001,16632,0x0a38,1,22.960,1.235,0.263,0.507,2.000,109.000,0
radar_s001,16698,0x0a38,1,22.960,1.235,0.263,0.507,2.000,109.000,0
radar_s001,16763,phase,1,22.960,-1.054,0.195,-0.374,2.000,109.000,0
radar_s001,16835,0x0a38,1,22.960,-1.054,0.195,-0.374,2.000,109.000,0
radar_s001,16900,0x0a38,1,22.960,-1.054,0.195,-0.374,2.000,109.000,0
radar_s001,16965,phase,1,22.960,-0.356,0.066,0.697,2.000,109.000,0
radar_s001,17037,text,1,22.960,-0.356,0.066,0.697,2.000,109.000,0
radar_s001,17109,0x0a38,1,22.960,-0.356,0.066,0.697,2.000,109.000,0
radar_s001,17174,0x0a38,1,22.960,-0.356,0.066,0.697,2.000,109.000,0
radar_s001,17239,human_status,1,22.960,-0.356,0.066,0.697,2.000,109.000,0
