device,tick_ms,sequence,valid,block_index,sample_index,left,right,sample_count,min,max,peak_abs,mean_abs,frame_id,radar_type,frame_len,data_len,driver_drop,msg_drop,frame_hex,radar_decoded
mic,48604,69,1,5,139,-394,-412,,,,,,,,,,24304,21432,,
mic,48604,69,1,5,140,-381,-395,,,,,,,,,,24306,21432,,
mic,48604,69,1,5,141,-411,-416,,,,,,,,,,24308,21432,,
mic,48604,69,1,5,142,-406,-443,,,,,,,,,,24311,21432,,
mic,48604,69,1,5,143,-392,-426,,,,,,,,,,24313,21432,,
mic,48604,69,1,5,144,-398,-422,,,,,,,,,,24316,21432,,
mic,48604,69,1,5,145,-405,-413,,,,,,,,,,24318,21432,,
mic,48604,69,1,5,146,-354,-385,,,,,,,,,,24320,21432,,
mic,48604,69,1,5,147,-403,-406,,,,,,,,,,24323,21432,,
mic,48604,69,1,5,148,-392,-421,,,,,,,,,,24325,21432,,
mic,48604,69,1,5,149,-387,-460,,,,,,,,,,24328,21432,,
mic,48604,69,1,5,150,-389,-418,,,,,,,,,,24330,21432,,
mic,48604,69,1,5,151,-392,-403,,,,,,,,,,24332,21432,,
mic,48604,69,1,5,152,-340,-404,,,,,,,,,,24335,21432,,
mic,48604,69,1,5,153,-371,-402,,,,,,,,,,24337,21432,,
mic,48604,69,1,5,154,-333,-403,,,,,,,,,,24339,21432,,
mic,48604,69,1,5,155,-367,-384,,,,,,,,,,24342,21432,,
mic,48604,69,1,5,156,-352,-435,,,,,,,,,,24344,21432,,
mic,48604,69,1,5,157,-391,-413,,,,,,,,,,24347,21432,,
mic,48604,69,1,5,158,-371,-340,,,,,,,,,,24349,21432,,
mic,48604,69,1,5,159,-357,-403,,,,,,,,,,24351,21432,,
mic,49348,70,1,6,0,-67,-123,,,,,,,,,,24354,21805,,
mic,49348,70,1,6,1,-82,-54,,,,,,,,,,24355,21805,,
mic,49348,70,1,6,2,-68,-94,,,,,,,,,,24357,21805,,
mic,49348,70,1,6,3,-52,-72,,,,,,,,,,24360,21805,,
mic,49348,70,1,6,4,-23,-34,,,,,,,,,,24362,21805,,
mic,49348,70,1,6,5,-88,-70,,,,,,,,,,24364,21805,,
mic,49348,70,1,6,6,-37,-43,,,,,,,,,,24366,21805,,
mic,49348,70,1,6,7,-39,-29,,,,,,,,,,24369,21805,,
mic,49348,70,1,6,8,-31,-28,,,,,,,,,,24371,21805,,
mic,49348,70,1,6,9,49,-6,,,,,,,,,,24373,21805,,
mic,49348,70,1,6,10,-16,21,,,,,,,,,,24375,21805,,
mic,49348,70,1,6,11,52,-1,,,,,,,,,,24377,21805,,
mic,49348,70,1,6,12,27,49,,,,,,,,,,24380,21805,,
mic,49348,70,1,6,13,47,41,,,,,,,,,,24382,21805,,
mic,49348,70,1,6,14,17,36,,,,,,,,,,24384,21805,,
mic,49348,70,1,6,15,54,65,,,,,,,,,,24386,21805,,
mic,49348,70,1,6,16,64,42,,,,,,,,,,24388,21805,,
mic,49348,70,1,6,17,116,76,,,,,,,,,,24390,21805,,
mic,49348,70,1,6,18,72,85,,,,,,,,,,24393,21805,,
mic,49348,70,1,6,19,109,78,,,,,,,,,,24395,21805,,
mic,49348,70,1,6,20,55,103,,,,,,,,,,24397,21805,,
mic,49348,70,1,6,21,53,81,,,,,,,,,,24399,21805,,
mic,49348,70,1,6,22,111,37,,,,,,,,,,24401,21805,,
mic,49348,70,1,6,23,66,84,,,,,,,,,,24404,21805,,
mic,49348,70,1,6,24,104,112,,,,,,,,,,24406,21805,,
mic,49348,70,1,6,25,139,114,,,,,,,,,,24408,21805,,
mic,49348,70,1,6,26,119,96,,,,,,,,,,24410,21805,,
mic,49348,70,1,6,27,121,116,,,,,,,,,,24413,21805,,
mic,49348,70,1,6,28,112,111,,,,,,,,,,24415,21805,,
mic,49348,70,1,6,29,145,102,,,,,,,,,,24417,21805,,
mic,49348,70,1,6,30,109,154,,,,,,,,,,24419,21805,,
mic,49348,70,1,6,31,129,103,,,,,,,,,,24422,21805,,
mic,49348,70,1,6,32,146,161,,,,,,,,,,24424,21805,,
mic,49348,70,1,6,33,157,169,,,,,,,,,,24426,21805,,
mic,49348,70,1,6,34,144,160,,,,,,,,,,24428,21805,,
mic,49348,70,1,6,35,147,127,,,,,,,,,,24431,21805,,
mic,49348,70,1,6,36,143,184,,,,,,,,,,24433,21805,,
mic,49348,70,1,6,37,147,131,,,,,,,,,,24435,21805,,
mic,49348,70,1,6,38,185,140,,,,,,,,,,24437,21805,,
mic,49348,70,1,6,39,157,156,,,,,,,,,,24440,21805,,
mic,49348,70,1,6,40,145,107,,,,,,,,,,24442,21805,,
mic,49348,70,1,6,41,174,155,,,,,,,,,,24444,21805,,
mic,49348,70,1,6,42,149,153,,,,,,,,,,24446,21805,,
mic,49348,70,1,6,43,157,183,,,,,,,,,,24449,21805,,
mic,49348,70,1,6,44,172,158,,,,,,,,,,24451,21805,,
mic,49348,70,1,6,45,243,214,,,,,,,,,,24453,21805,,
mic,49348,70,1,6,46,182,174,,,,,,,,,,24456,21805,,
